format_name,codes
CCHS2014_ONT_SHARE_ADM_LN2G,1=ENGLISH; 10=KOREAN; 2=FRENCH; 3=ARABIC; 4=CHINESE; 5=CREE; 6=GERMAN; 7=GREEK; 8=HUNGARIAN; 9=ITALIAN
CCHS2014_ONT_SHARE_ADM_LNG,1=ENGLISH; 10=VIETNAMESE; 2=FRENCH; 3=CHINESE; 4=ITALIAN; 5=PUNJABI; 6=SPANISH; 7=PORTUGUESE; 8=POLISH; 9=GERMAN
CCHS2014_ONT_SHARE_AGE3DFM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_AGREEFM,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER NOR; 4=DISAGREE; 5=STRONG DISAGREE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2014_ONT_SHARE_ALC6_2F,1=2 = ONCE A MONTH; 3=2 TO 3 TIMES/MO; 4=ONCE/WEEK; 5=2 TO 3 TIMES/WK; 6=4 TO 6 TIMES/WK; 7=EVERY DAY; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL
CCHS2014_ONT_SHARE_ALCDTTFM,1=REGULAR DRINKER; 2=OCCASIO. DRINKER; 3=NO DRINK LAST12M; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2014_ONT_SHARE_ALC_3F,1=NEVER; 2=LESS ONCE/MONTH; 3=ONCE/MONTH; 4=2-3 TIMES/MONTH; 5=ONCE/WEEK; 6=MORE ONCE/WEEK; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2014_ONT_SHARE_ALC_NUM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_ALWDDLFM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_ALWDWKFM,0=NO DRINKS LAST W; 996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_CASETPFM,0=AREA FRAME; 1=TELEPHONE FRAME; 2=DWELLING FRAME; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2014_ONT_SHARE_CCC17AFM,1=CROHN'S DISEASE; 2=ULCER. COLITIS; 3=IRRITABLE BOWEL; 4=INCONTINENCE; 5=OTHER; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2014_ONT_SHARE_CCCDIAFM,1=TYPE 1 DIABETES; 2=TYPE 2 DIABETES; 3=GEST. DIABETES; 4=NOT CLASSIFIED; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2014_ONT_SHARE_CCC_10C,1=2 = 1 TO 3 = 2 TO 4 = 6 MONTH - 5 = &gt;= 1 YR; 6=NEVER; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2014_ONT_SHARE_CIG_NUM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_CON3DFM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2014_ONT_SHARE_DAY2DFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2014_ONT_SHARE_DHCDECF,1=UNATTACHED INDIV; 2=SINGLE W OTHERS; 3=COUPLE ALONE; 4=CPL NOCHILD OTH; 5=CPL CHILD6 = CPL CHILD7 = CPL CHILD&gt;24; 8=CPL CHILD&gt;24 OTH; 9=FEM CHILD10 = FEM CHILD
CCHS2014_ONT_SHARE_DHCDLVG,1=UNATTACHED ALONE; 10=OTHER; 2=UNATTACHED OTHER; 3=W/SPOUSE/PARTNER; 4=PARENT SPOU/CHLD; 5=PARENT W/CHILD; 6=CHILD W/PARENT; 7=CHILD W/PAR&amp;SIB; 8=CHILD W/2 PARENT; 9=CHLD W/2 PAR&amp;SIB
