Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
PACADFR	Frequency of all physical activity - (D)	Num8
PACADPAI	Physical activity index - (D)	Num8
PACAFD	Partic. in daily phy. Act. - > 15 min.	Num8
PACAFLEI	Participant in leisure physical activity	Num8
PAPA_020	Ever had PAP smear test	Num8
PAPA_022	Last time had PAP smear test	Num8
PAPA_26A	No PAP - have not gotten around to it	Num8
PAPA_26B	No PAP - resp. didn't think necessary	Num8
PAPA_26C	No PAP - doctor didn't think necessary	Num8
PAPA_26D	No PAP - personal/fam. responsibilities	Num8
PAPA_26E	No PAP - not available when required	Num8
PAPA_26F	No PAP - not available in area	Num8
PAPA_26G	No PAP - waiting time too long	Num8
PAPA_26H	No PAP - transportation problems	Num8
PAPA_26I	No PAP - language problem	Num8
PAPA_26J	No PAP - cost	Num8
PAPA_26K	No PAP - did not know where to go	Num8
PAPA_26L	No PAP - fear	Num8
PAPA_26M	No PAP - hysterectomy	Num8
PAPA_26N	No PAP - hate/dislike having one done	Num8
PAPA_26O	No PAP - other reason	Num8
PCUA_150	Phys. check-up without a health problem	Num8
PCUA_151	Phys. check-up during visit/health prob.	Num8
PCUA_152	Last time had physical check up	Num8
PCUA_56A	No phys. check-up - haven't got. around	Num8
PCUA_56B	No phys. check-up - resp. think not nec.	Num8
PCUA_56C	No phys. check-up - dr. think not nec.	Num8
PCUA_56D	No phys. check-up - pers./family resp.	Num8
PCUA_56E	No phys. check-up - not av. when require	Num8
PCUA_56F	No phys. check-up - not available/area	Num8
PCUA_56G	No phys. check-up - wait. time too long	Num8
PCUA_56H	No phys. check-up - transportation prob.	Num8
PCUA_56I	No phys. check-up - language problem	Num8
PCUA_56J	No phys. check-up - cost	Num8
PCUA_56K	No phys. check-up - didn't know where/go	Num8
PCUA_56L	No phys. check-up - fear	Num8
PCUA_56M	No phys. check-up - other reason	Num8
PSAA_170	Ever had a PSA blood test	Num8
PSAA_172	Last time had PSA blood test	Num8
PSAA_73A	Reason/PSA - family history	Num8
PSAA_73B	Reason/PSA - regular check-up/screening	Num8
PSAA_73C	Reason/PSA - age	Num8
PSAA_73D	Reason/PSA - follow-up/previous problem	Num8
PSAA_73E	Reason/PSA - follow-up/prostate treat.	Num8
PSAA_73F	Reason/PSA - other	Num8
RACA_1	Has difficulty with activities	Num8
RACA_2A	Reduction - activities at home	Num8
RACA_2B	Reduction - activities at work or school	Num8
RACA_2C	Reduction - other activities	Num8
RACA_6A	Needs help - preparing meals	Num8
RACA_6B	Needs help - shopping for necessities	Num8
